instance,solver
alarm_10000_bdeu-0.1-3,ilp-162-nc
alarm_10000_bdeu-10-3,ilp-162
alarm_10000_bdeu-100-2,ilp-141
alarm_10000_bic-2,astar-comp
alarm_1000_bdeu-100-3,astar-comp
alarm_100_bdeu-0.1-4,ilp-162
anneal_bdeu-10-5,astar-comp
audiology_63_bdeu-0.1-4,ilp-141
autos_bdeu-0.1-2,ilp-162-nc
backache_bdeu-1-4,ilp-141-nc
backache_bdeu-1-6,ilp-162-nc
backache_bdeu-10-5,ilp-162-nc
carpo_10000_bdeu-10-2,ilp-162
carpo_1000_bdeu-1-2,ilp-162-nc
colic_bdeu-0.1-4,cpbayes
colic_bdeu-0.1-5,astar-comp
colic_bdeu-1-4,ilp-162-nc
connect-4_60000_bdeu-0.1-2,ilp-141
connect-4_60000_bdeu-10-2,ilp-141
connect-4_60000_bic-3,astar-comp
connect-4_6000_bdeu-100-2,cpbayes
connect-4_6000_bic-2,ilp-162
dermatology_bdeu-10-2,ilp-162-nc
diabetes_bdeu-0.1-2,ilp-162-nc
diabetes_bdeu-0.1-3,ilp-162-nc
diabetes_bdeu-10-4,astar-comp
eucalyptus_bdeu-0.1-2,ilp-162
eucalyptus_bdeu-1-3,ilp-141-nc
eucalyptus_bdeu-1-4,astar-comp
flag_bdeu-1-6,ilp-141
flag_bdeu-10-4,ilp-141-nc
hailfinder_10000_bdeu-0.1-2,ilp-141
hailfinder_10000_bdeu-1-3,ilp-162
hailfinder_1000_bdeu-0.1-2,ilp-162-nc
hailfinder_100_bdeu-10-3,ilp-141-nc
hailfinder_100_bic,ilp-162
hypothyroid_bdeu-100-2,cpbayes
hypothyroid_bic-2,ilp-141-nc
insurance_1000_bdeu-100-5,astar-comp
insurance_100_bdeu-1-3,ilp-162
kr-vs-kp_bdeu-0.1-3,ilp-141-nc
kr-vs-kp_bdeu-10-2,ilp-141-nc
kr-vs-kp_bdeu-10-3,cpbayes
marketing_bdeu-1-6,ilp-162
mildew_100_bdeu-1-2,ilp-141
mildew_100_bdeu-1-4,astar-comp
mildew_100_bic,ilp-162
mushroom_bdeu-10-3,astar-comp
optdigits_bdeu-1-2,ilp-141-nc
promoters_bdeu-0.1-3,ilp-141-nc
promoters_bdeu-1-2,ilp-162
promoters_bdeu-1-3,ilp-162
promoters_bdeu-1-4,ilp-141
soybean_bdeu-1-4,cpbayes
soybean_bdeu-10-2,ilp-141
soybean_bic,ilp-141-nc
spect_bdeu-100-4,cpbayes
spect_bdeu-100-6,astar-comp
sponge_bdeu-0.1-3,ilp-162-nc
sponge_bdeu-10-2,ilp-162-nc
sponge_bdeu-100-2,cpbayes
sponge_bdeu-100-3,astar-comp
sponge_bic-2,ilp-162-nc
stemmatology_bdeu-1-2,ilp-141-nc
stemmatology_bic,ilp-141-nc
student-mat_bdeu-10-3,ilp-162-nc
student-mat_bdeu-10-6,cpbayes
student-mat_bdeu-100-3,ilp-162
student-mat_bdeu-100-5,ilp-162-nc
synth-1503-57-6-2-0.5-0-186_bdeu-1-5,ilp-162
synth-1507-56-5-2-0.5-0-396_bdeu-1-3,ilp-141-nc
synth-1511-59-6-2-0.5-0-1510_bdeu-0.1-2,ilp-162
synth-1518-32-7-2-0.5-0-473_bdeu-100-4,cpbayes
synth-1530-55-5-2-0.5-0-257_bdeu-0.1-2,ilp-141-nc
synth-1531-28-5-2-0.5-0-3279_bdeu-1-3,ilp-141
synth-1533-58-5-2-0.5-0-1786_bdeu-0.1-4,ilp-162-nc
synth-1537-22-5-2-0.5-0-244_bic-3,ilp-162
synth-1551-22-7-2-0.5-0-267_bdeu-10-3,astar-ed3
synth-1563-21-3-2-0.5-0-5552_bdeu-1-2,astar-comp
synth-1564-54-8-2-0.5-0-159_bic-5,ilp-141
synth-1567-41-3-2-0.5-0-730_bdeu-0.1-5,ilp-162
synth-1583-21-2-2-0.5-0-2555_bdeu-0.1-4,ilp-162
synth-1602-35-8-2-0.5-0-1050_bdeu-100-4,cpbayes
synth-1635-35-2-2-0.5-0-783_bdeu-10-4,ilp-162
synth-1648-36-7-2-0.5-0-328_bdeu-0.1-2,cpbayes
synth-1654-55-2-2-0.5-0-1001_bic-5,ilp-162
synth-1702-32-7-2-0.5-0-2028_bdeu-10-5,cpbayes
